x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,x_68,x_69,x_70,x_71,x_72,x_73,x_74,x_75,x_76,x_77,x_78,x_79,x_80,x_81,x_82,x_83,x_84,x_85,x_86,x_87,x_88,x_89,x_90,x_91,x_92,x_93,x_94,x_95,x_96,x_97,x_98,x_99,x_100,x_101,x_102,x_103,x_104,x_105,x_106,x_107,x_108,x_109,x_110,x_111,x_112,x_113,x_114,x_115,x_116,x_117,x_118,x_119,x_120,x_121,x_122,x_123,x_124,x_125,x_126,x_127,bias
0.16739517,0.054085936,0.07882487,0.219609,0.06673633,-0.15277585,0.2823012,0.16101676,-0.071468376,0.084593706,0.09297119,0.048843313,-0.004384768,0.20659189,0.19117658,-0.012133648,-0.1631476,-0.072533995,0.13346225,0.15975827,0.012444172,0.088895276,0.15226817,-0.055398334,-0.012636255,0.16524279,-0.29157212,-0.2672188,0.049615275,0.0051052277,0.42932475,-0.1048968,-0.03857394,-0.118926704,-0.17125458,0.14835362,0.08139762,0.004475113,0.16203246,-0.1457425,0.06378207,0.105819464,0.053444505,-0.050254453,0.020212105,-0.025534237,0.07303444,-0.17356701,0.03094641,0.10331905,0.00871201,0.024139823,-0.16698116,0.1620218,-0.093883045,0.07755715,-0.02323115,-0.25265643,-0.0481965,0.060875602,0.16575775,0.024041077,-0.14304121,-0.07996542,0.010275245,-0.09228619,0.17278215,-0.10917131,-0.029847817,-0.20461686,-0.0066904156,0.029144114,-0.15265712,0.029059235,0.2658725,0.1292719,-0.03762386,-0.18706463,-0.0995376,-0.07251935,0.056862224,-0.16990106,0.046972975,0.060447928,0.1710658,0.28765973,-0.1117149,0.21962051,-0.31238666,0.024577055,0.12488872,-0.10911918,0.15561685,0.3252392,-0.22044261,0.09178353,-0.24704672,-0.017574463,-0.22202556,-0.03937541,-0.115936905,-0.06584983,-0.08257071,-0.08673488,0.20888072,0.017402096,0.110475995,0.24014264,-0.059090074,0.11532229,-0.056425504,-0.10338285,0.11395466,-0.033109695,-0.146876,-0.05300153,-0.0831907,0.013879539,0.06486064,0.053145695,0.05689856,-0.05898344,0.06641815,-0.08937226,0.39632836,0.33621547,-0.23431608,0.094123535,-0.6076904
0.16182916,-0.23283431,0.18731302,0.027226564,-0.07534416,0.034991756,0.07592072,0.16471384,0.16754137,0.034973547,0.102060944,-0.3776204,0.095269725,-0.0109379385,-0.058114044,-0.15580286,-0.12203312,-0.22874899,-0.10399503,-0.06787986,-0.1283238,0.29889563,-0.029230194,0.0766947,-0.06375695,-0.037686255,-0.123888746,0.006987995,0.09951939,0.24365512,0.0047440575,-0.11642388,0.044408105,-0.34074375,-0.14652498,-0.07683623,0.10238701,0.080697134,-0.100440934,-0.42073616,-0.13174497,0.33414522,-0.029993858,0.17739712,-0.09868968,0.10872398,-0.086114794,0.16133705,0.054182604,-0.035399657,-0.13428092,-0.024806833,-0.01706232,0.15840258,0.030665046,0.060252752,0.14797193,0.3070554,0.26868477,-0.09919112,0.05986608,0.3465626,0.06314359,-0.14461568,0.015219468,-0.0058635925,-0.031377796,-0.17805742,0.2363591,-0.2525439,-0.25505456,-0.013335562,0.13240348,-0.15520331,-0.01230545,0.07108691,-0.18793531,0.08292825,-0.011341287,-0.18007943,0.16722034,-0.2126553,0.156141,0.09008103,-0.16576807,0.25598648,-0.12937701,0.011300477,-0.05797545,0.16305925,-0.28017315,-0.13258271,-0.07807177,0.13168433,0.18108816,-0.09010294,-0.36909693,-0.054011013,-0.15146232,-0.20335647,0.25575837,-0.04704669,0.09448815,-0.23027475,0.08904956,0.23418903,-0.086299084,0.17173724,-0.03838869,-0.079288736,-0.1837363,-0.16089498,0.036858786,-0.122131646,-0.055608325,-0.062239204,-0.12022636,0.2496012,0.28446656,0.112756774,-0.0033379146,0.015017452,0.107351854,-0.07810634,0.2026821,0.14977571,0.028994089,0.032034174,-0.69309807
-0.048680894,0.09811621,-0.09163852,0.06125593,0.07080026,-0.023791501,0.00010228591,-0.035518855,-0.008310661,0.014693129,0.035343025,0.17276551,0.062167868,-0.14390482,0.04660049,0.18185608,-0.028867656,0.023077117,-0.13179764,0.08825734,0.1002494,-0.015343389,-0.02586897,-0.18353598,0.045649394,0.12174728,0.09005378,-0.083984934,-0.003855722,-0.08871946,0.06143351,-0.11695874,0.2557206,-0.10640626,0.11330344,0.30344117,-0.12780288,-0.0063500833,0.14349984,0.05577973,0.28892353,-0.09945847,0.24223384,0.08262324,-0.044364218,-0.010706145,0.17732912,0.054873433,0.35788894,0.086889476,0.08029475,-0.19793232,0.08857958,-0.0455313,-0.3193297,0.28383788,-0.14768559,0.1728158,-0.28781226,0.06921674,0.2195909,0.01575413,0.024054142,0.10669826,-0.024320323,0.14051941,0.08597195,-0.09220881,-0.06763379,0.15136155,-0.21701004,-0.09166522,-0.014208772,0.025927158,-0.06064281,-0.07793013,0.1680287,-0.11578747,0.10459793,0.20609497,0.05730639,0.1332624,0.1146374,0.013407629,0.05413906,-0.28499997,-0.022236148,0.01018151,0.1689886,0.049402412,-0.08739552,-0.03395175,0.016103715,-0.15196547,-0.014364159,0.07445113,0.08640774,-0.19910356,0.43295252,0.20413694,-0.2620089,0.03602982,-0.118498705,0.15478185,0.10356399,-0.16847408,-0.033058036,-0.094589844,0.18771997,-0.17583266,0.05458892,0.14227109,-0.18306933,-0.010384535,0.14239115,0.14355709,0.14031325,0.12498287,-0.0064354152,-0.0030509976,0.3188846,0.16823633,-0.021365967,0.072994076,-0.30385613,-0.23483934,-0.06290076,0.09834696,0.6516427
