x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,x_68,x_69,x_70,x_71,x_72,x_73,x_74,x_75,x_76,x_77,x_78,x_79,x_80,x_81,x_82,x_83,x_84,x_85,x_86,x_87,x_88,x_89,x_90,x_91,x_92,x_93,x_94,x_95,x_96,x_97,x_98,x_99,x_100,x_101,x_102,x_103,x_104,x_105,x_106,x_107,x_108,x_109,x_110,x_111,x_112,x_113,x_114,x_115,x_116,x_117,x_118,x_119,x_120,x_121,x_122,x_123,x_124,x_125,x_126,x_127,bias
0.23742345,0.029211627,0.084628634,0.17061724,0.07120452,-0.115752034,0.24927258,0.16355532,-0.11580865,0.079957336,-0.02156468,0.09200404,0.13891666,0.1341775,0.21670836,0.11211043,-0.15221703,0.10192194,0.12217713,0.059875097,0.064707495,0.0068203905,0.094306245,-0.016094502,0.015100441,0.10780313,-0.26813915,-0.23613602,0.05665147,-0.047764048,0.4346328,0.0031380658,-0.03228986,-0.15843457,-0.056434844,0.2061081,0.05404387,-0.002941227,0.08579292,-0.0957479,0.11333822,-0.0019425118,0.07059252,-0.06697995,-0.011482117,-0.06148228,0.11777934,-0.10506481,0.078491166,0.029837305,0.03327998,0.05063635,-0.07088291,0.1900742,-0.090770245,0.025716217,0.027241543,-0.16549757,-0.028632803,-0.0013592864,0.1259129,-0.07115338,-0.11821696,-0.02850509,0.050499327,-0.11380971,0.15707146,0.0018361766,0.087825455,-0.048690185,-0.18038945,-0.25221905,-0.10672868,0.10013041,0.23524801,0.25389543,-0.14071108,-0.26332688,-0.120111175,0.13689631,0.09678915,-0.10547247,0.0525509,0.17756847,0.096987166,0.029119765,-0.057166837,0.25370914,-0.15188482,0.024294527,0.17098716,-0.0069474005,0.18284002,0.10064938,-0.18390507,0.14369519,-0.21367835,-0.004058308,-0.1493443,0.02626173,-0.15745142,-0.01500829,-0.10623818,-0.063985206,0.2839776,-0.10323596,0.20730941,0.22696961,-0.06212384,0.044999827,0.015818292,-0.032657064,0.21433449,-0.0780014,-0.1530355,-0.14148791,0.008013457,-0.044833597,0.051608246,0.019321958,0.04628422,0.0124758575,0.05909188,-0.11003217,0.3912704,0.24208462,-0.21175574,0.13154909,-0.026142517
0.2046452,-0.21094303,0.13421024,0.033571687,-0.012456297,0.1621973,-0.12027021,0.08577656,0.22473124,0.114841394,0.068833865,-0.318865,0.25797015,-0.06808036,-0.07495844,0.046335544,-0.05784112,-0.1466836,-0.10221518,-0.21799545,-0.12229011,0.09142107,-0.005224113,0.04650537,0.057407614,-0.028746568,-0.08111065,0.10784633,0.14107448,0.11255985,-0.025893988,-0.045013428,0.11830467,-0.45258087,0.1112439,0.0029942777,0.04474803,0.078888625,-0.15345421,-0.34117308,-0.0928867,0.26178282,0.00856978,0.1273053,-0.025353834,0.05478335,-0.055079278,0.1665638,0.09474185,-0.09316559,-0.10236848,0.057570808,0.114272535,0.079482615,0.0035808075,0.044427037,0.1535458,0.37744668,0.3155804,-0.078929044,-0.050742466,0.19853042,0.0689499,-0.14430346,-0.034453575,-0.017601319,-0.07388245,-0.24656145,0.21039496,-0.14241104,-0.1990433,-0.018322801,0.07429051,-0.23330268,-0.09783837,0.12308249,-0.23049653,-0.027586674,0.031436943,-0.1883944,0.2123945,-0.08710198,0.1155537,0.2990978,-0.048231196,0.22380897,-0.13761568,0.015883427,-0.08699309,0.123387165,-0.20935887,-0.1409004,-0.13448405,0.045001827,0.15951452,-0.05633107,-0.2839149,-0.07180744,-0.13039695,-0.06081353,0.25677526,-0.11966984,0.049794547,-0.08529402,0.09683197,0.08566085,-0.039794788,0.10100193,-0.11394426,-0.0365965,-0.18686949,-0.06556423,0.06448692,-0.11452887,0.062101632,-0.086680636,-0.126143,0.2474832,0.30052453,0.086873926,-0.088252336,0.08663629,-0.0070546204,-0.107017234,0.12986022,0.059836995,0.010087999,0.04789922,-0.030827623
-0.11084054,0.10395178,-0.07532495,0.08925394,0.043427497,-0.105039984,0.0974639,-0.0082985675,-0.00442165,-0.01957533,0.11911517,0.12592508,-0.10800565,-0.07741924,0.037824497,0.014512406,-0.059358962,-0.12029384,-0.12558287,0.21627867,0.06478328,0.12405782,-0.00090418913,-0.19539912,-0.022880258,0.15210244,0.05958167,-0.1441124,-0.02608353,-0.0046661613,0.07133093,-0.21263203,0.22114304,-0.030705648,-0.07322938,0.23840666,-0.08795466,-0.0011576978,0.213345,-0.0036826045,0.24107267,-0.0066930936,0.21831194,0.11295675,-0.059528068,0.033344023,0.13538922,0.014847883,0.31281674,0.15749682,0.053229038,-0.25827363,-0.030543244,-0.027004233,-0.31042582,0.32135805,-0.1778381,0.091299936,-0.32221276,0.09818379,0.29070958,0.13701898,0.005172235,0.07667112,-0.02702657,0.15796761,0.114420496,-0.09930816,-0.1196474,0.01082606,-0.11911104,0.006886023,0.0019084528,0.013751306,0.00830525,-0.18628018,0.18651392,-0.023500368,0.097314656,0.1042005,0.008738994,0.022995472,0.12794222,-0.15601355,0.016034447,-0.12223449,-0.039956182,-0.012117168,0.08752591,0.07698397,-0.14660355,-0.09198264,0.024439385,0.015118703,-0.02732846,0.025962839,0.030204058,-0.1988334,0.38417548,0.08810618,-0.234488,0.049711138,-0.074791804,0.062845975,0.054609235,-0.0202014,-0.11514596,-0.051429033,0.22930422,-0.15579377,0.0131412,0.044992663,-0.25919566,0.011847926,0.09245355,0.18682969,0.0926902,0.15600574,-0.0046120514,0.02996334,0.35828614,0.08633985,0.035770964,0.09891272,-0.2604286,-0.14101228,-0.0665364,0.06630617,0.028270045
