x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,x_68,x_69,x_70,x_71,x_72,x_73,x_74,x_75,x_76,x_77,x_78,x_79,x_80,x_81,x_82,x_83,x_84,x_85,x_86,x_87,x_88,x_89,x_90,x_91,x_92,x_93,x_94,x_95,x_96,x_97,x_98,x_99,x_100,x_101,x_102,x_103,x_104,x_105,x_106,x_107,x_108,x_109,x_110,x_111,x_112,x_113,x_114,x_115,x_116,x_117,x_118,x_119,x_120,x_121,x_122,x_123,x_124,x_125,x_126,x_127,bias
0.22958252,0.03568079,0.08400199,0.17274095,0.05076621,-0.102619946,0.25085518,0.22640057,-0.11204748,0.090993375,-0.0143301515,0.06463601,0.16142817,0.20378585,0.23969547,0.095449574,-0.19713603,0.07522757,0.11145315,0.09755233,0.077924214,-0.014968181,0.13466935,-0.020057855,0.031893246,0.10774211,-0.2798127,-0.2654402,0.0496191,-0.052527487,0.4422221,0.004419284,-0.019901315,-0.16559692,-0.05175484,0.20790426,0.050962266,-0.013106889,0.08464251,-0.10360224,0.1103674,0.01563222,0.080594376,-0.07700509,-0.014538316,-0.055478316,0.12869735,-0.10673588,0.054264277,0.042224042,0.04390812,0.062664405,-0.046064787,0.19255468,-0.09271178,0.025121072,0.037872575,-0.16221526,-0.029455988,0.019313993,0.10443069,-0.08315198,-0.11792327,-0.018606393,0.038479704,-0.10580472,0.14718583,0.004625274,0.08759664,-0.06779434,-0.19487907,-0.23417023,-0.104907006,0.09030578,0.2659373,0.25091985,-0.12296381,-0.2560422,-0.10660337,0.104293466,0.086966015,-0.15172227,0.059886612,0.12836209,0.07992745,0.020697849,-0.053212527,0.23807375,-0.120123185,0.03374922,0.18545078,-0.03387279,0.17419106,0.10200988,-0.1771897,0.1349089,-0.21015084,0.01612639,-0.14804056,0.026219465,-0.15784499,-0.046629883,-0.10093505,-0.054057907,0.28684157,-0.07501365,0.20784059,0.23587567,-0.05444886,0.077159636,0.026230237,-0.06587841,0.2059378,-0.08955023,-0.15011919,-0.13169934,0.009429993,-0.032084834,0.047609184,0.031037966,0.037673607,0.0050331913,0.03539531,-0.10985905,0.39786366,0.2468268,-0.18346705,0.15836409,-0.023471212
0.19724733,-0.20684023,0.13821453,0.035726167,-0.058889646,0.17189857,-0.094299726,0.1438564,0.19136743,0.09731543,0.047269855,-0.35873628,0.2795699,-0.011902737,-0.054089013,0.06473639,-0.12422871,-0.11956903,-0.074102536,-0.124754116,-0.11579418,0.101019196,0.05068119,0.050159413,0.07094394,-0.024003277,-0.09817777,0.09410429,0.13028237,0.110711105,0.0028998714,-0.04835495,0.12762415,-0.4561482,0.08534079,0.026664976,0.035712246,0.083038956,-0.16534385,-0.3357277,-0.07351791,0.25162074,0.013406879,0.10087955,-0.06388885,0.06078892,-0.025729151,0.19693863,0.05602078,-0.105348006,-0.07556369,0.07710334,0.14360926,0.12696706,-0.00017140323,0.03543507,0.16277997,0.40497524,0.3139761,-0.079087175,-0.09029578,0.18178184,0.0996168,-0.1147565,-0.04834369,-0.014591487,-0.0796166,-0.22103792,0.24448413,-0.17860691,-0.23985618,-0.03956414,0.0953386,-0.19244097,-0.064446315,0.15450618,-0.22078303,-0.037395038,0.041768055,-0.2355067,0.21746124,-0.14509085,0.113962434,0.17881969,-0.08786328,0.16214637,-0.15715857,0.0045271427,-0.03155903,0.12051981,-0.182371,-0.17646606,-0.1255158,0.047052257,0.14169426,-0.0411371,-0.28269473,-0.0314502,-0.11409295,-0.08707467,0.25704703,-0.14878143,0.056354884,-0.09788639,0.112576425,0.10479228,-0.005207242,0.13368908,-0.089008346,-0.017150199,-0.1682609,-0.10579097,0.09601697,-0.11743739,0.024459926,-0.0682875,-0.1092798,0.23390506,0.2973325,0.09374956,-0.07623211,0.07885726,-0.012277208,-0.09767416,0.16332594,0.0808647,0.03928864,0.08015116,-0.03242489
-0.1040639,0.0985423,-0.078769565,0.08805748,0.07678585,-0.11897774,0.08454218,-0.07267212,0.0064531695,-0.01907091,0.12453668,0.16316955,-0.13277383,-0.14093204,0.015654854,0.014822279,-0.0034910352,-0.11823865,-0.13105133,0.15796515,0.05330444,0.13268894,-0.047859453,-0.19530475,-0.038156833,0.15201642,0.07648478,-0.121041976,-0.01847491,-0.0014931038,0.055058062,-0.2122434,0.2100692,-0.023561312,-0.0642022,0.2283683,-0.08231712,0.0023667288,0.22190358,-0.0013977307,0.23777059,-0.012029495,0.21085568,0.13202718,-0.040519882,0.027849063,0.1160217,7.2716735e-05,0.34846702,0.1550598,0.03405423,-0.27277368,-0.059386197,-0.049093768,-0.3084529,0.327689,-0.19153184,0.07800199,-0.32321918,0.08570105,0.32275364,0.15242036,-0.0075437305,0.05842729,-0.0131228035,0.15212315,0.12378688,-0.11337521,-0.13580167,0.041686904,-0.091448285,0.008898119,-0.007998713,0.003027921,-0.023599919,-0.20273077,0.17467424,-0.024281725,0.08502123,0.14875057,0.019116562,0.07546716,0.12545317,-0.07451201,0.044183053,-0.09067175,-0.033806536,0.0023718865,0.0438747,0.072813,-0.16992483,-0.0623018,0.02603522,0.012372078,-0.023815356,0.026535442,0.027701048,-0.23030172,0.37590906,0.10027926,-0.2352136,0.081113465,-0.08246788,0.062033184,0.045923132,-0.045142025,-0.13028234,-0.07374558,0.2133238,-0.18311566,-0.0009454616,0.08293586,-0.27177674,0.020411415,0.10860563,0.16851464,0.08561232,0.15583989,-0.0009587104,0.019057203,0.36489323,0.09548516,0.054748148,0.095191956,-0.2812172,-0.15524131,-0.097171575,0.035660908,0.027841091
