x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,bias
-0.18978868,-0.29677132,-0.13179703,0.40520176,-0.42394662,0.45103413,0.5125542,0.15358093,-0.03339181,0.10720861,-0.11714867,-0.017752627,0.35146984,-0.023818571,-0.079200394,-0.07935714,0.0059044114,-0.09741259,0.03650558,-0.37826723,-0.033899426,0.18568617,-0.12336714,-0.14549363,-0.11553735,0.03383819,-0.1231306,0.27170238,0.20283483,0.24931996,0.009036801,0.28433868,0.0
0.0896976,-0.07655522,0.47545266,0.0067146816,-0.16844152,-0.052217916,0.4074695,-0.04875439,-0.2822533,-0.14121328,-0.08592672,-0.05010514,-0.22448465,-0.23549633,0.20165418,-0.19305786,-0.2543802,0.23004915,-0.009275543,0.23596899,-0.06605825,0.16347745,0.14347148,-0.011042005,-0.1769642,0.24736875,0.16501087,-0.11040089,-0.011448198,0.16491805,-0.27973405,0.18184075,0.0
0.021014435,-0.20184492,0.45426142,-0.041921366,-0.09433988,0.039753262,0.082686216,0.16383414,-0.30667883,0.20416014,0.1592938,0.0397584,-0.14374273,-0.59485555,0.23604508,0.19706073,-0.181721,-0.034097947,0.225804,0.27386847,-0.046186917,-0.31663743,-0.11240428,-0.39340705,0.07512755,-0.14974727,-0.11808843,0.33944002,0.15981646,-0.31385148,-0.024666075,-0.17840101,0.0
