x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,x_68,x_69,x_70,x_71,x_72,x_73,x_74,x_75,x_76,x_77,x_78,x_79,x_80,x_81,x_82,x_83,x_84,x_85,x_86,x_87,x_88,x_89,x_90,x_91,x_92,x_93,x_94,x_95,x_96,x_97,x_98,x_99,x_100,x_101,x_102,x_103,x_104,x_105,x_106,x_107,x_108,x_109,x_110,x_111,x_112,x_113,x_114,x_115,x_116,x_117,x_118,x_119,x_120,x_121,x_122,x_123,x_124,x_125,x_126,x_127,bias
0.23577753,0.027567962,0.079096116,0.1757373,0.05996767,-0.11657911,0.23485292,0.16589296,-0.12591778,0.083527826,-0.01566072,0.09024219,0.11695102,0.13112633,0.21576779,0.1117348,-0.17843364,0.10598204,0.11270629,0.07812598,0.070375934,-0.008031693,0.09500784,-0.017058004,0.018531164,0.105964355,-0.27318874,-0.2349127,0.0512926,-0.052556597,0.44006726,0.0011353467,-0.032314762,-0.1523574,-0.06308942,0.20949298,0.052455574,-0.0036982084,0.08701531,-0.09722712,0.10355159,-0.0064092814,0.06746215,-0.0719181,-0.012314381,-0.061067335,0.11446083,-0.09602548,0.06737534,0.03376355,0.042484358,0.043017466,-0.06146075,0.18966214,-0.090228856,0.025292842,0.037112214,-0.16819571,-0.027145261,0.0027937943,0.12942868,-0.07140382,-0.13237803,-0.015033945,0.05218426,-0.10903471,0.16084504,0.0028559393,0.09642131,-0.04390105,-0.18162431,-0.25319594,-0.10750918,0.08473392,0.24854848,0.25653043,-0.1263079,-0.26258746,-0.119690575,0.13516386,0.08527708,-0.10305873,0.057035007,0.13378775,0.09306677,0.03791991,-0.057458617,0.25264558,-0.14974362,0.027444102,0.1751396,-0.004794865,0.18216968,0.10496066,-0.17990182,0.13769971,-0.21369113,-0.00765693,-0.14136276,0.026683077,-0.15835889,-0.0047992454,-0.10473444,-0.053697255,0.2895833,-0.09825378,0.20176664,0.22653605,-0.058845844,0.044865303,0.017627362,-0.03964091,0.21822987,-0.08552722,-0.1638617,-0.13388199,-0.00070927414,-0.041927826,0.050415434,0.01876238,0.03541627,0.020624429,0.055082913,-0.11562747,0.388734,0.23822214,-0.19346319,0.16490789,-0.025284287
0.20100701,-0.21057336,0.13017614,0.036163058,-0.01223889,0.18545733,-0.11014177,0.089667775,0.22574683,0.11720367,0.07581015,-0.31400132,0.31130856,-0.07600815,-0.074818805,0.04643953,-0.08002606,-0.15346119,-0.0975022,-0.17118813,-0.12610054,0.07131693,-0.00081704516,0.04875479,0.07478235,-0.016084416,-0.06696328,0.10973089,0.13382249,0.113058604,-0.009326264,-0.04688716,0.115891926,-0.4574635,0.12391281,0.0072873686,0.04383848,0.079048865,-0.14376567,-0.3379313,-0.09053925,0.2650712,0.0066334447,0.12806886,-0.022946214,0.05484519,-0.06309567,0.17184028,0.07108158,-0.08396492,-0.084335275,0.056483418,0.13622901,0.08529781,-0.0024243726,0.04455598,0.18953063,0.38599184,0.30859,-0.083601564,-0.054218747,0.1936227,0.06721662,-0.14051916,-0.038920615,-0.015558271,-0.074307635,-0.24540305,0.20274548,-0.1630929,-0.21506861,-0.016503017,0.075793475,-0.22982514,-0.08993432,0.11308325,-0.27465978,-0.017925136,0.029228678,-0.19141723,0.21544395,-0.08235957,0.11556436,0.22178534,-0.036384366,0.24723628,-0.14557333,0.017196046,-0.09785234,0.11834306,-0.20917363,-0.13853589,-0.1311498,0.040999606,0.14324255,-0.054550003,-0.27841815,-0.07444089,-0.13728037,-0.06550674,0.25552514,-0.10822569,0.047997583,-0.08382039,0.0908508,0.08340118,-0.047118727,0.099809445,-0.10887975,-0.0368267,-0.17547886,-0.068604015,0.073403694,-0.11351352,0.033153575,-0.09231777,-0.14799917,0.24657696,0.3046893,0.087910205,-0.12126203,0.08769537,0.0007647823,-0.09980033,0.12488452,0.061460033,0.012677831,0.07004296,-0.029478688
-0.10845763,0.10481349,-0.070215315,0.08569082,0.05027734,-0.11607937,0.101429194,-0.011877169,0.0010135171,-0.022655334,0.11311387,0.12491521,-0.11746501,-0.07216931,0.03827558,0.014557756,-0.034027312,-0.11974484,-0.12191082,0.1902266,0.063390434,0.14414042,-0.0033577618,-0.19576018,-0.033545893,0.14802922,0.057142653,-0.14559722,-0.019730078,-0.0019131387,0.060489766,-0.21063702,0.22219592,-0.03298333,-0.07502579,0.23454335,-0.086649604,-0.0003406334,0.20876126,-0.003941314,0.24621816,-0.005401551,0.221877,0.11589451,-0.060432516,0.032986913,0.14127998,0.0067914333,0.3314243,0.15114194,0.038401075,-0.25368363,-0.048479576,-0.0293278,-0.30832863,0.3217104,-0.1972561,0.08947888,-0.3205663,0.097525515,0.29013738,0.13930926,0.015001604,0.080197975,-0.026118936,0.15426219,0.11227423,-0.10038543,-0.12204593,0.018344915,-0.11131341,0.007112406,0.0015771086,0.021920545,-0.0024184731,-0.1836977,0.19605944,-0.028353766,0.09795754,0.106776595,0.0011505254,0.019577987,0.12532993,-0.0998515,0.012408893,-0.141177,-0.036285553,-0.012044415,0.09283231,0.077019855,-0.14955592,-0.09417516,0.023232318,0.014132825,-0.022190044,0.029018033,0.027911546,-0.19468316,0.3827725,0.08993971,-0.23341815,0.038648058,-0.07522678,0.055597924,0.053678825,-0.02240134,-0.10914493,-0.050729863,0.22528738,-0.15565586,0.0067186216,0.051102653,-0.26675856,0.016135903,0.11296145,0.18424326,0.11078157,0.15480009,-0.005610583,0.029764136,0.3765797,0.081391156,0.03541266,0.099269554,-0.25683838,-0.13956782,-0.07911806,0.03625374,0.027226217
