x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,x_68,x_69,x_70,x_71,x_72,x_73,x_74,x_75,x_76,x_77,x_78,x_79,x_80,x_81,x_82,x_83,x_84,x_85,x_86,x_87,x_88,x_89,x_90,x_91,x_92,x_93,x_94,x_95,x_96,x_97,x_98,x_99,x_100,x_101,x_102,x_103,x_104,x_105,x_106,x_107,x_108,x_109,x_110,x_111,x_112,x_113,x_114,x_115,x_116,x_117,x_118,x_119,x_120,x_121,x_122,x_123,x_124,x_125,x_126,x_127,bias
0.30545932,0.028108025,0.12014813,0.29469615,0.0806228,-0.21196349,0.29228485,0.22921753,-0.21744366,0.20229502,-0.005125788,0.17607237,0.04801166,0.24464072,0.26494828,0.13529806,-0.27822748,0.1390431,0.17786124,0.16626038,0.12758806,-0.12719926,0.2461977,0.04293424,-0.011387368,0.09967357,-0.3687102,-0.29888448,0.08322768,-0.072500825,0.53128946,0.09020772,-0.072572,-0.046387162,-0.16819154,0.20074962,0.0866032,-0.051860016,0.020077508,-0.10558575,0.15345272,-0.012495542,0.13951668,-0.099368654,-0.05010173,-0.044644624,0.1678398,-0.1767391,0.09560791,-0.023526028,-0.022582881,0.29891443,-0.056763668,0.20515928,-0.046696898,-0.043434843,0.03590511,-0.24237077,0.02156764,-0.04011305,0.19271162,-0.1001534,-0.18874554,0.09045125,0.11133062,-0.14577232,0.20163643,0.14122887,0.08884695,-0.047462437,-0.1846826,-0.31328177,-0.22801974,0.24677147,0.43496057,0.31316525,-0.29457614,-0.30042323,-0.12827688,0.25841162,0.006251815,-0.16923219,0.04294999,0.160967,0.19257276,-0.037622478,0.07379603,0.34184697,-0.17435163,-0.0011988763,0.31366292,-0.021964645,0.2553901,0.13555479,-0.19157511,0.27017084,-0.2471882,0.08269355,-0.23254676,0.009870387,-0.16886455,-0.04487365,-0.1980853,-0.09183378,0.3437609,-0.06513839,0.32351944,0.2808088,-0.086026065,0.09252176,0.07599304,-0.108803675,0.28337365,-0.1578813,-0.24573451,-0.12947507,0.070171334,-0.0376507,0.051552575,-0.048606683,0.08405104,-0.02714402,0.1405989,-0.20571576,0.4698897,0.3089911,-0.1738159,0.19437602,-0.0902244
0.2575318,-0.27967143,0.20418528,0.08517875,0.04826555,0.15201552,-0.2662471,0.036401935,0.15993857,0.16101155,0.0019774386,-0.2921399,0.25756013,-0.10455929,-0.08489281,-0.088565566,-0.12637562,-0.21075349,-0.033020463,-0.20250721,-0.29662305,0.092412904,-0.022396069,0.142884,0.18107207,-0.11787669,-0.06566172,0.16536027,0.23940207,0.18521407,0.0553907,0.024845833,0.07809778,-0.44220313,-0.067319684,-0.07687978,0.07002769,0.08913266,-0.21699436,-0.45942843,-0.0488326,0.310562,0.022282528,0.25979826,-0.17588426,0.08296622,-0.047808066,0.24069613,0.18765773,-0.1860702,-0.1697203,0.095323555,0.22884077,0.18940406,0.038502805,-0.005046239,0.14711669,0.4390462,0.4013857,-0.14682022,0.0059997262,0.344636,0.22849771,-0.070547834,0.041437645,-0.032563023,-0.1162522,-0.31369847,0.31282145,-0.18373896,-0.39165175,0.091433875,0.14504054,-0.20194826,-0.24484651,0.13152567,-0.19619893,0.049807854,0.052807476,-0.43782786,0.2346574,-0.18072294,0.2315398,0.13625672,-0.32884523,0.31996974,-0.26112244,0.006944365,0.03863887,0.11728828,-0.40252212,-0.15920945,-0.17423484,0.09806594,0.24607554,-0.0025426394,-0.34407148,-0.09341535,-0.18503086,-0.15869896,0.3365339,-0.14187746,0.018139768,-0.24465688,0.13239223,0.24204868,-0.02585542,0.14969255,-0.22424155,-0.038923968,-0.303803,-0.04764017,0.14977653,-0.20262235,-0.011834711,-0.21790779,-0.117352255,0.40168354,0.37468156,0.07432437,-0.036513004,0.13335383,0.12104033,-0.13840611,0.15718274,0.10478491,0.19516514,0.03171524,-0.094775036
-0.1770372,0.13405174,-0.12733768,-0.013979215,0.011401453,-0.031053405,0.13647996,-0.018979752,0.08303773,-0.11707069,0.13843398,0.058267247,-0.061103985,-0.12402969,0.014763355,0.062511854,0.05521937,-0.1207173,-0.18762681,0.145381,0.11038191,0.21096547,-0.07896739,-0.27282757,-0.059946373,0.19542487,0.12129258,-0.13674998,-0.08502715,-0.01964354,-0.026114155,-0.29412627,0.26243198,-0.10872423,0.081585,0.27746847,-0.11852352,0.022378843,0.28118452,0.052172255,0.19764425,-0.021837665,0.1644939,0.07457984,0.030749613,0.011606234,0.10199973,0.022710465,0.2586311,0.2297681,0.11938435,-0.43390036,-0.08722416,-0.08097485,-0.35222015,0.38704795,-0.18060187,0.10799923,-0.38901752,0.15136217,0.2236221,0.08968508,-0.015345805,-0.022084642,-0.09877078,0.18311493,0.10399594,-0.16029017,-0.16611055,0.023760162,-0.027163366,-0.0068599787,0.04055519,-0.09248408,-0.047695395,-0.22547194,0.2644537,-0.036045983,0.092273526,0.18321304,0.05719166,0.099744596,0.08354129,-0.0714943,0.11939503,-0.12458555,-0.060399782,-0.06347007,0.045849856,0.09765147,-0.14879158,-0.07557415,-0.0034566924,-0.029199356,-0.062362686,-0.07156749,0.07611523,-0.23841116,0.45900208,0.1417618,-0.26248565,0.075947605,-0.0015040289,0.15283117,0.0050047264,-0.11191968,-0.18923545,-0.105616875,0.29362875,-0.18186907,0.024104062,0.082778834,-0.3357904,0.100219,0.18645787,0.26339343,0.04401588,0.07477547,-0.037173282,0.07958845,0.31553045,0.08919793,-0.07358804,0.17132446,-0.3184334,-0.20094596,-0.17589867,0.03481456,0.09601125
