x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,bias
0.30210942,0.08388114,0.08569308,0.28209478,0.08437962,-0.19010314,0.31027272,0.18788904,-0.25624207,0.24508917,-0.07839554,0.13031653,0.16443014,0.14347672,0.25057796,0.16486742,-0.3055795,0.14505354,0.24260043,0.10751187,-0.0091027105,-0.07546565,0.103018105,-0.051486343,0.1040936,0.16806155,-0.3522873,-0.2856295,0.05406467,-0.09129291,0.61146647,0.100638755,0.00010581426,-0.07840531,-0.14728001,0.32296884,0.029252192,0.04050468,0.14872527,-0.12029354,0.2696396,-0.04589385,0.17628755,-0.09134417,-0.05423087,-0.11972794,0.25945356,-0.11510455,0.16033177,0.039415188,0.038761687,0.014597352,-0.014329772,0.34350738,-0.1781798,0.07320606,0.08908521,-0.1612159,-0.06458492,0.023990449,0.17886661,-0.117978565,-0.07648308,0.05353113,0.0
0.2168836,-0.24297847,0.115235664,0.065320544,-0.037432656,0.15167516,-0.1482732,0.07299035,0.20342238,0.20298058,0.013191907,-0.40595022,0.20989689,-0.13998643,-0.15257084,0.03951177,-0.14712703,-0.17883234,-0.052043512,-0.12597448,-0.24964489,0.105625734,-0.037459873,0.02772343,0.13169041,0.021514397,-0.09654674,0.17172818,0.12971778,0.114420965,0.02627751,0.008867961,0.20979904,-0.4518481,0.02705488,0.07136751,0.020604294,0.1498142,-0.13887794,-0.41419557,0.014696059,0.30918157,0.083784,0.16236152,-0.11321679,0.047374967,-0.011372157,0.2607961,0.18177506,-0.129196,-0.10483603,-0.022430278,0.1903764,0.23032258,-0.05238768,0.12207538,0.18797791,0.5960939,0.3601749,-0.09243155,-0.048594825,0.2511999,0.19311202,-0.08388866,0.0
-0.10747293,0.09852422,-0.054466803,0.09160966,0.07700513,-0.09158967,0.15149745,0.03668248,0.09580853,-0.12324659,0.22999787,0.15497516,-0.05334211,-0.062994756,0.10386568,0.029187825,-0.0032825677,-0.17896172,-0.2555523,0.20535322,0.18285455,0.2274312,0.028724253,-0.24081121,-0.098275915,0.1764212,0.060321044,-0.23644489,0.0073794387,0.025933327,0.07107256,-0.38427344,0.26452574,-0.21343206,0.00034708428,0.28478363,-0.07838323,-0.044000007,0.24732459,-0.04135606,0.21027711,0.04135905,0.22296773,0.16209425,-0.023644358,0.078602344,0.10728613,-0.009272519,0.3822764,0.22049989,0.06163078,-0.2690668,-0.10103199,-0.13228951,-0.38038126,0.40210974,-0.2665745,0.058778517,-0.3992546,0.1145214,0.39378497,0.21319316,-0.08610747,-0.0016076129,0.0
