0,786
1,952
2,753
3,15
4,445
5,112
6,806
7,111
8,756
9,631
10,50
11,575
12,798
13,835
14,118
15,37
16,409
17,635
18,196
19,560
20,717
21,139
22,821
23,747
24,4
25,193
26,945
27,768
28,688
29,358
30,313
31,901
32,505
33,887
34,678
35,397
36,207
37,891
38,146
39,1
40,875
41,707
42,751
43,637
44,247
45,531
46,663
47,515
48,55
49,702
50,259
51,499
52,60
53,947
54,463
55,614
56,529
57,694
58,726
59,666
60,664
61,31
62,373
63,305
64,813
65,267
66,412
67,619
68,43
69,737
70,967
71,94
72,371
73,980
74,217
75,288
76,799
77,612
78,419
79,476
80,774
81,166
82,201
83,777
84,164
85,468
86,825
87,735
88,836
89,598
90,640
91,436
92,249
93,669
94,377
95,385
96,511
97,948
98,156
99,147
100,661
101,154
102,353
103,195
104,585
105,350
106,524
107,209
108,277
109,189
110,40
111,961
112,176
113,632
114,120
115,865
116,75
117,372
118,611
119,77
120,66
121,603
122,532
123,216
124,754
125,556
126,141
127,741
128,90
129,653
130,52
131,898
132,775
133,599
134,425
135,464
136,312
137,818
138,991
139,361
140,302
141,477
142,293
143,401
144,329
145,318
146,170
147,534
148,510
149,279
150,936
151,103
152,265
153,878
154,942
155,610
156,174
157,521
158,935
159,92
160,765
161,782
162,317
163,780
164,626
165,157
166,457
167,924
168,856
169,127
170,290
171,869
172,375
173,576
174,785
175,64
176,481
177,352
178,964
179,330
180,548
181,871
182,757
183,772
184,254
185,411
186,933
187,136
188,868
189,131
190,788
191,57
192,134
193,864
194,558
195,509
196,497
197,811
198,606
199,764
200,110
201,408
202,10
203,588
204,257
205,355
206,689
207,38
208,3
209,162
210,710
211,144
212,442
213,171
214,742
215,909
216,590
217,480
218,705
219,326
220,896
221,564
222,323
223,275
224,827
225,428
226,183
227,261
228,546
229,398
230,244
231,351
232,660
233,552
234,21
235,406
236,152
237,804
238,475
239,130
240,591
241,128
242,930
243,551
244,443
245,410
246,376
247,679
248,833
249,691
250,210
251,178
252,148
253,82
254,539
255,977
256,68
257,860
258,85
259,190
260,105
261,861
262,650
263,975
264,448
265,987
266,872
267,656
268,543
269,370
270,63
271,465
272,211
273,53
274,512
275,593
276,240
277,849
278,889
279,840
280,153
281,708
282,613
283,908
284,338
285,562
286,347
287,343
288,989
289,51
290,374
291,971
292,496
293,760
294,391
295,423
296,17
297,470
298,667
299,226
300,72
301,696
302,721
303,335
304,133
305,124
306,308
307,577
308,657
309,703
310,450
311,586
312,39
313,697
314,649
315,328
316,882
317,525
318,769
319,644
320,566
321,65
322,219
323,455
324,949
325,954
326,508
327,519
328,121
329,761
330,922
331,407
332,716
333,727
334,919
335,622
336,915
337,916
338,793
339,795
340,990
341,298
342,918
343,386
344,393
345,345
346,456
347,384
348,892
349,489
350,639
351,528
352,838
353,287
354,403
355,45
356,101
357,683
358,474
359,214
360,437
361,620
362,630
363,744
364,886
365,466
366,269
367,74
368,327
369,561
370,167
371,729
372,937
373,294
374,426
375,550
376,500
377,88
378,356
379,12
380,897
381,862
382,646
383,319
384,340
385,955
386,314
387,885
388,390
389,14
390,676
391,501
392,567
393,745
394,150
395,615
396,700
397,826
398,487
399,491
400,297
401,706
402,248
403,831
404,809
405,357
406,766
407,718
408,601
409,714
410,863
411,6
412,523
413,834
414,213
415,284
416,449
417,143
418,537
419,530
420,199
421,681
422,750
423,237
424,161
425,625
